"0","n","v","c","f","a","e","y","g","m","s","r","w","b"
0,5.09805617421051e-09,2.39021953215607e-06,5.44973091658204e-09,9.65832331893472e-05,0.239213295196544,0.516763948012779,0.000109212758486671,0.000109109985074948,0.00377325508148652,0.239641908751862,0.000105031526736658,0.000182834620277899,2.42006624346093e-06
0,1.0400742191276e-07,1.05763376287943e-07,1.04090361139079e-07,0.000196869866414803,0.000246525215151651,0.71824103594948,0.00127315385324009,0.000996846687534277,0.000997192689970145,0.134789347470958,0.134782870113087,0.00847573990137196,1.04391633008335e-07
0,4.43916677786507e-07,4.45192875594965e-07,4.43939875301122e-07,0.000487533876158329,0.00166599933385727,0.920061463523141,0.00288233203200653,0.000720383614538565,0.000720463720542722,0.00749405944744328,0.00749317006762323,0.0584728164970397,4.44838220473415e-07
0,6.55490438550165e-08,6.96591300788222e-08,6.55128298682164e-08,7.16604954996746e-05,0.00526371894812465,0.732871908463626,0.00986294507844264,0.00101827966699177,0.0010183066116546,0.00330118241480264,0.0033008834417187,0.243290844396921,6.97612141246363e-08
0,6.08296613534444e-08,8.51068721859699e-08,6.08354709057587e-08,8.6685606857174e-05,0.0318762847432933,0.934388459246436,0.030387107027373,8.06014199441455e-05,8.06021047629824e-05,0.000134737459568286,0.000134729923523011,0.00283050016446449,8.55317731788062e-08
0,5.10003979597147e-09,5.1013491521599e-09,5.09905911237454e-09,5.13265683685046e-06,5.73712429557366e-06,0.515365056922883,0.483762499115917,0.000117961643656278,0.000117961708783354,0.000123109314534516,0.000123108597862178,0.000379412512439372,5.10234374816127e-09
0,9.08030833784715e-09,9.0816789792867e-09,9.08083302967441e-09,1.81790200802038e-08,1.92759111100095e-08,0.00186946900121329,0.998019663925497,1.81596986494214e-05,1.81597034367756e-05,1.85383238738221e-05,1.85382711890143e-05,3.73972972263884e-05,9.08116301356772e-09
0,8.75232252117683e-10,8.75315393815751e-10,8.75264078947525e-10,1.42716089825808e-09,1.49369839931923e-09,0.000113813560526451,0.999877831500969,1.42693981188858e-06,1.42694010251284e-06,1.4499248826933e-06,1.44992168437486e-06,2.59479006833692e-06,8.75284096311601e-10
0,1.42817408711902e-08,3.54748800702864e-07,1.43656712373443e-08,0.000349182840296703,0.433189085323339,0.566326725088047,1.68800841176013e-05,1.46156895282698e-05,1.46157001954239e-05,1.54562971068395e-05,1.54561797617727e-05,5.7238755971117e-05,3.60645422865277e-07
0,3.3961330905258e-08,3.97902621458718e-08,3.39628495193669e-08,4.03319065660909e-05,0.00728878541478898,0.99244566925409,3.53626516932524e-05,3.44765299133038e-05,3.44765340836425e-05,3.48051634023299e-05,3.48051175261636e-05,5.11398207412574e-05,3.98927525403082e-08
0,2.54581747707984e-08,2.5599720416983e-08,2.54582134890763e-08,2.56664779634839e-05,0.00020309675706133,0.999617555817945,2.55438975127451e-05,2.55222113937346e-05,2.55222114957928e-05,2.55302538383119e-05,2.55302527156125e-05,2.59300017603779e-05,2.56022053317101e-08
0,5.5194665022481e-08,5.54022643782883e-08,5.52898748632981e-08,4.18961178020017e-06,4.07704214679976e-06,0.114069407356602,0.00140533340159591,0.00133736900822307,0.00133748612768075,0.43933422993689,0.439332910134063,0.00317477618456968,5.53096443119629e-08
0,2.86241475291398e-08,2.37893223654473e-05,2.35512339067636e-05,0.505682708378889,0.000850339655536521,0.493359520978625,8.34067462201803e-06,6.78366165031869e-06,2.44374651367768e-05,6.83562325134134e-06,6.83557465466171e-06,6.78897978966593e-06,3.98274251600113e-08
0,6.75121843149947e-09,4.01203566821134e-06,3.8542023814216e-06,0.474788152631758,0.000963035777474343,0.524179927119784,6.67820931159839e-06,3.38036506576024e-06,4.07750708434989e-05,3.39283708511177e-06,3.39282543469475e-06,3.38164042607701e-06,1.0533548935478e-08
0,2.83842291426335e-07,3.55011375386475e-07,3.12242588554093e-07,0.0205734302173157,0.0150589950967954,0.945145696264855,0.0017246095557518,0.000324973462725907,0.0161961105890487,0.000324976486568273,0.000324976483751034,0.000324973771272822,3.06975659500051e-07
0,1.65643621334932e-07,1.66350991445286e-07,1.6632102762368e-07,0.00111115971332927,0.000183676157288824,0.791037576518665,0.0171074110398437,0.000559924496275069,0.188319813686104,0.000559924936958345,0.000559924936547779,0.000559924541240888,1.65658106773712e-07
0,1.49909030838647e-07,1.50091095643982e-07,1.50081840586633e-07,0.000391033959899151,0.000156642208635368,0.939406819001806,0.0591794848043997,0.00015500862822136,0.000245385444042202,0.000155008662446425,0.000155008662414539,0.000155008631713562,1.49914454446249e-07
0,2.18660406936379e-10,2.18648018333053e-10,2.18660858232497e-10,2.59456080689988e-07,2.19603396255919e-07,0.50215218176117,0.497785815275744,1.2128144210492e-05,1.30104514574814e-05,1.21281445407895e-05,1.21281445404817e-05,1.21281442441943e-05,2.18646891403144e-10
0,3.8450158891424e-09,3.84504158693734e-09,3.84502769182449e-09,8.40785114280081e-09,7.70787689133348e-09,0.00171028800796403,0.998250948723124,7.69331567964936e-06,7.95851013881519e-06,7.69331578031378e-06,7.69331578022e-06,7.6933156899208e-06,3.84502980526873e-09
0,5.98964647696121e-08,6.00952919283746e-08,6.0089704489922e-08,0.000326439859848247,6.54456263988109e-05,0.752418353214009,0.000686611251972014,0.000568792222747853,0.244227740445408,0.00056879257121224,0.00056879257088759,0.000568792258303972,5.98977506764762e-08
0,3.47278996528656e-07,5.76166901241141e-07,3.49035678604911e-07,0.00384286087420588,0.163613850947082,0.830381351064027,0.00035800501677747,0.000356072427158731,0.000377791136552697,0.000356072710957946,0.000356072710693563,0.000356072456114738,5.78174852795542e-07
0,8.07013427599784e-08,8.07653886665494e-08,8.07438858216926e-08,0.000139905186488077,0.000117526520606183,0.99925327667777,8.14359960559545e-05,8.13794587183933e-05,8.20148334186936e-05,8.13794670204992e-05,8.13794670127651e-05,8.13794595654563e-05,8.0722727140135e-08
0,4.9707745415043e-08,8.59202296629149e-07,5.13933475107378e-08,0.00197537818754155,0.362778169358372,0.63493938559859,5.07490992627989e-05,5.06257374787136e-05,5.20121116571118e-05,5.06257555729792e-05,5.06257555561229e-05,5.06257393248689e-05,8.42353254022772e-07
0,8.53112426050526e-08,0.0303919689232448,0.000591946638488724,0.924273201035058,0.00495148843989177,0.0397904920885163,1.16290155111308e-07,1.16266091648235e-07,1.16287344914462e-07,1.21087975840576e-07,1.21085896581723e-07,1.16715902839726e-07,1.09830190775579e-07
0,8.26100844034628e-08,0.352816539540796,0.00507431111158292,0.638671541586401,0.00101605339424229,0.00242086009357341,8.74338237506748e-08,8.74320957656327e-08,8.74336171576279e-08,8.77772629316426e-08,8.77771146608987e-08,8.74642948599964e-08,8.63451113262804e-08
0,4.7567939612009e-08,0.299176926538327,0.0129760881397526,0.684948535550943,8.23631617353982e-05,0.00281569209636217,4.98721634918482e-08,4.98719746602619e-08,4.9872148548866e-08,4.99114285418454e-08,4.99114109909591e-08,4.98756550807698e-08,4.76301587182056e-08
0,9.10564707559564e-08,0.00706067639333864,0.264741973409556,0.696427764197801,0.000163289075191513,0.0316052096675976,1.50846060358685e-07,1.50846039310304e-07,1.50846058713234e-07,1.50850441681288e-07,1.50850439721377e-07,1.50846449981454e-07,9.11145541077056e-08
0,7.78979514725958e-08,0.000226503564796429,0.00157096988940462,0.637490257814868,0.000794146533845152,0.359912386122753,9.29943519835665e-07,9.29943510979023e-07,9.29943519147208e-07,9.29945364276816e-07,9.29945363451442e-07,9.29943683862186e-07,7.85114197961402e-08
0,3.87460396520075e-08,0.540233178128596,0.000191807908042714,0.459485888677544,8.77494945132183e-05,1.06566839092717e-06,3.87661981277847e-08,3.87661976662313e-08,3.8766197923101e-08,3.87662558896947e-08,3.87662558765862e-08,3.87662030987198e-08,3.87795644578276e-08
